base_bid,pred_threshold,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.1,0.05,105511,117,5617048,0,0.0011088891205656283,53236.61040081129,48008.957264957266,0.21339260619961214
0.125,0.05,112342,132,5967229,0,0.0011749835324277652,53116.63491837425,45206.280303030304,0.24070499011945665
0.15,0.05,118065,146,6249994,2045,0.0012366069537966375,52936.89069580316,42808.17808219178,0.2661965096268235
0.1,0.1,83327,113,4348893,0,0.0013561030638328513,52190.68249186938,38485.77876106195,0.20626820729284517
0.125,0.1,89487,128,4691543,0,0.0014303753617843932,52427.0899683753,36652.6796875,0.23358549794434336
0.15,0.1,95306,145,5072222,0,0.0015214152309403395,53220.38486559084,34980.84137931035,0.2645492127749278
0.175,0.1,100676,155,5484696,0,0.0015395923556756328,54478.68409551432,35385.13548387097,0.28274193723158725
0.19999999999999998,0.1,105577,164,5912128,0,0.001553368631425405,55998.25719616962,36049.560975609755,0.2991138393606735
0.22499999999999998,0.1,109599,166,6249934,1728,0.0015146123596018212,57025.46556081716,37650.20481927711,0.3027269492339429
0.1,0.15000000000000002,67753,110,3476281,0,0.001623544344899857,51308.14871666199,31602.554545454546,0.20097412660693992
0.125,0.15000000000000002,73096,125,3803513,0,0.0017100798949326913,52034.488891321,30428.104,0.22829877520968692
0.15,0.15000000000000002,78099,141,4165735,0,0.0018054008373986864,53339.15927220579,29544.21985815603,0.25744687686607554
0.175,0.15000000000000002,82747,150,4558765,0,0.0018127545409501252,55092.81303249665,30391.766666666666,0.27381492545184277
0.19999999999999998,0.15000000000000002,86974,158,4965066,0,0.0018166348563938648,57086.78455630418,31424.46835443038,0.2883627081865636
0.22499999999999998,0.15000000000000002,90929,164,5376427,0,0.0018036050105026998,59127.748023182925,32783.09146341463,0.2992639811881198
0.24999999999999997,0.15000000000000002,94538,171,5790183,0,0.0018087964627980283,61247.149294463605,33860.71929824561,0.3119943687867697
0.27499999999999997,0.15000000000000002,97723,174,6176776,0,0.001780542963273743,63206.9830029778,35498.71264367816,0.31743196214160063
0.29999999999999993,0.15000000000000002,99072,165,6249970,4416,0.001665455426356589,63085.13000645995,37878.606060606064,0.300999273255814
0.1,0.2,55683,105,2841275,0,0.0018856742632401271,51025.89659321516,27059.761904761905,0.192040495467035
0.125,0.2,60379,120,3151573,0,0.001987445966312791,52196.50871991918,26263.108333333334,0.21937428576160584
0.15,0.2,64708,136,3492332,0,0.0021017493972924524,53970.63732459665,25678.91176470588,0.24853377691110276
0.175,0.2,68641,145,3858083,0,0.002112440086828572,56206.684051805765,26607.46896551724,0.26490382768846077
0.19999999999999998,0.2,72141,153,4232629,0,0.0021208466752609474,58671.615308908935,27664.24183006536,0.27945432618697474
0.22499999999999998,0.2,75336,158,4606367,0,0.002097270893065732,61144.30020176277,29154.221518987342,0.28853108980856673
0.24999999999999997,0.2,78209,163,4979689,0,0.0020841591121226457,63671.559539183465,30550.23926380368,0.29761413183090996
0.27499999999999997,0.2,80750,166,5327322,0,0.0020557275541795666,65973.02786377708,32092.301204819276,0.30305161835068956
0.29999999999999993,0.2,83040,168,5649282,0,0.002023121387283237,68030.85260115606,33626.67857142857,0.30666841828691543
0.32499999999999996,0.2,84882,168,5920300,0,0.0019792182088075212,69747.4140571617,35239.880952380954,0.30664207637983
0.35,0.2,86494,171,6166473,0,0.0019770157467570004,71293.65042661919,36061.245614035084,0.3120953003571451
0.3749999999999999,0.2,87337,166,6249962,2149,0.0019006835590872138,71561.44589349302,37650.3734939759,0.30295859195363417
0.1,0.25,46157,103,2348505,0,0.002231514179864376,50880.79814546007,22801.019417475727,0.1886116357806459
0.125,0.25,50240,117,2638322,0,0.0023288216560509553,52514.37101910828,22549.760683760684,0.21412456572090333
0.15,0.25,53831,133,2948573,0,0.0024706953242555406,54774.62800245212,22169.72180451128,0.24330059901273515
0.175,0.25,57052,142,3279763,0,0.00248895744233331,57487.257239010025,23096.922535211266,0.2596751926472182
0.19999999999999998,0.25,59934,150,3619974,0,0.002502753028331164,60399.33927320052,24133.16,0.2742289245442714
0.22499999999999998,0.25,62500,155,3953932,0,0.00248,63262.912,25509.23870967742,0.28330618181818185
