base_bid,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.025,7758,12,72209,0,0.0015467904098994587,9307.682392369168,6017.416666666667,0.022746256064121496
0.05,20061,30,329002,0,0.0014954389113204726,16400.079756741936,10966.733333333334,0.05544271789224683
0.07500000000000001,33753,65,773057,0,0.001925754747726128,22903.356738660266,11893.184615384615,0.11933727103045387
0.1,47799,87,1374491,0,0.0018201217598694532,28755.643423502584,15798.747126436781,0.15927389123773988
0.125,60604,112,2018483,0,0.0018480628341363606,33306.10190746486,18022.16964285714,0.20474520133684543
0.15,72174,133,2659570,0,0.0018427688641338986,36849.41945853077,19996.766917293233,0.24292384313666215
0.17500000000000002,82952,145,3320624,0,0.0017479988427042145,40030.668338316136,22900.855172413794,0.26468516294198613
0.2,92596,158,3975859,0,0.00170633720679079,42937.69709274699,25163.664556962027,0.28829652959680174
0.225,101702,167,4623677,0,0.0016420522703584984,45462.98991170282,27686.688622754493,0.30462159499857877
0.25,110256,174,5269733,0,0.0015781454070526774,47795.4306341605,30285.82183908046,0.317310523607868
0.275,117987,178,5873869,0,0.0015086407824590844,49784.03552933798,32999.26404494382,0.32454154810583913
0.30000000000000004,123621,171,6249998,3707,0.0013832601257067975,50557.73695407739,36549.695906432746,0.311739046984515
