base_bid,pred_threshold,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
50,0.05,130451,172,7345407,0,0.0013185027328268852,56307.786065265886,42705.854651162794,0.376441449911868
60,0.05,139045,180,8152200,0,0.0012945449314969973,58629.93994749901,45290.0,0.380884217920294
70,0.05,146289,186,8858002,0,0.0012714558169103624,60551.38800593346,47623.666666666664,0.3834080755448188
80,0.05,152445,191,9493308,0,0.001252910885893273,62273.65935255338,49703.1832460733,0.3851345368974921
90,0.05,157733,193,10064808,0,0.0012235866939701902,63809.14583505037,52149.26424870466,0.38327514752880326
100,0.05,162344,197,10567241,0,0.0012134726260286798,65091.66338146159,53640.817258883246,0.384705171949378
110,0.05,166392,198,11026828,0,0.0011899610558199914,66270.18125871436,55691.0505050505,0.38238035652791
120,0.05,170124,202,11461659,0,0.0011873692130446028,67372.38132185936,56740.88613861386,0.3843549580610678
130,0.05,173482,207,11868172,0,0.0011932073644527962,68411.5470192873,57334.16425120773,0.3879239549549537
140,0.05,176479,208,12223420,0,0.0011786104862334895,69262.74514248154,58766.442307692305,0.3864383088794804
150,0.05,179190,209,12549340,0,0.0011663597298956416,70033.70723812713,60044.688995215314,0.3851884598649478
160,0.05,181663,210,12856898,0,0.0011559866345926249,70773.34404914595,61223.32380952381,0.3840864456809327
170,0.05,183845,210,13128613,0,0.0011422665832630748,71411.31387853899,62517.20476190476,0.38190586565526796
180,0.05,185840,211,13387342,0,0.0011353852776582005,72036.92423590185,63447.11848341232,0.38119622936610187
190,0.05,187627,211,13620377,0,0.0011245716234870248,72592.84111561769,64551.549763033174,0.3793265425390162
200,0.05,189280,211,13834501,0,0.0011147506339814033,73090.13630600169,65566.35545023697,0.3776086400442634
210,0.05,190772,212,14034502,0,0.0011112741911810957,73566.88612584656,66200.48113207547,0.37737053018649963
220,0.05,192244,213,14236566,0,0.0011079669586567071,74054.67010673936,66838.33802816902,0.37711600093387376
230,0.05,193497,214,14411300,0,0.0011059602991260846,74478.15728409226,67342.52336448598,0.37708076196774487
240,0.05,194673,214,14574435,0,0.0010992793042692104,74866.23722858331,68104.83644859813,0.37577234147031646
250,0.05,195748,214,14729295,0,0.001093242331977849,75246.20941210128,68828.48130841121,0.3745304429841707
260,0.05,196755,214,14877778,0,0.0010876470737719499,75615.75563518082,69522.32710280374,0.3733397813550678
270,0.05,197733,214,15020738,0,0.0010822675021367196,75964.75044630891,70190.3644859813,0.3721934115692502
280,0.05,198601,214,15147479,0,0.0010775373739306449,76270.91001555884,70782.61214953271,0.3711771185051472
290,0.05,199425,214,15271295,0,0.0010730851197191928,76576.63281935564,71361.19158878505,0.3701843643780414
300,0.05,200120,214,15375478,0,0.0010693583849690185,76831.29122526484,71848.02803738318,0.36934903701066635
310,0.05,200839,214,15485497,0,0.0010655301012253596,77104.03357913553,72362.1355140187,0.3684669708687945
320,0.05,201489,214,15584295,0,0.00106209271970182,77345.63673451156,72823.80841121495,0.36767486817803274
330,0.05,202119,214,15681679,0,0.0010587822025638362,77586.36743700493,73278.8738317757,0.3668941409194637
340,0.05,202677,214,15769365,0,0.0010558672172964866,77805.39972468509,73688.6214953271,0.36619119542683004
350,0.05,203196,214,15851863,0,0.0010531703379987795,78012.67249355302,74074.1261682243,0.3655298629871812
360,0.05,203687,215,15930561,0,0.001055541099824731,78210.98548262776,74095.63255813954,0.3662651007317306
370,0.05,204143,215,16004608,0,0.0010531833077793507,78399.00461931097,74440.03720930233,0.3656715458357078
380,0.05,204590,215,16079017,0,0.001050882252309497,78591.41209247764,74786.12558139535,0.3650751233079729
390,0.05,205023,215,16150519,0,0.0010486628329504494,78774.18143330261,75118.69302325581,0.3645019975982934
400,0.05,205379,215,16211278,0,0.0010468451010083796,78933.47421109266,75401.29302325581,0.36401501673232234
410,0.05,205701,215,16267193,0,0.0010452063918016928,79081.74000126397,75661.36279069768,0.36356687737771903
420,0.05,206003,215,16320692,0,0.0010436741212506615,79225.50642466372,75910.19534883721,0.36313811924244344
430,0.05,206281,215,16371077,0,0.0010422675864476126,79362.9902899443,76144.5441860465,0.362734335975042
440,0.05,206582,215,16425309,0,0.0010407489519900087,79509.8750133119,76396.78604651162,0.3622997206578132
450,0.05,206831,215,16469756,0,0.0010394960136536594,79629.04980394623,76603.51627906977,0.36194351818864495
460,0.05,207099,215,16518159,0,0.0010381508360735687,79759.72361044718,76828.64651162791,0.361555621599855
470,0.05,207353,215,16566205,0,0.0010368791384740032,79893.73194504058,77052.11627906977,0.3611706177510552
480,0.05,207596,215,16610549,0,0.0010356654270795198,80013.8201121409,77258.36744186046,0.3608152588953579
490,0.05,207817,215,16651454,0,0.0010345640635751646,80125.56239383688,77448.62325581396,0.3604874682136058
50,0.1,111227,166,6313104,0,0.0014924433815530402,56758.73663768689,38030.74698795181,0.3766050260544129
60,0.1,118904,174,7100950,0,0.0014633654040234138,59720.02623965552,40810.057471264365,0.3811968099747389
70,0.1,125239,180,7784988,0,0.0014372519742252812,62161.05206844513,43249.933333333334,0.3838932674416581
80,0.1,130597,185,8398148,0,0.0014165715904653246,64305.82632066586,45395.394594594596,0.38579582906795995
90,0.1,135150,187,8946148,0,0.0013836477987421384,66194.21383647798,47840.36363636364,0.3841226398993711
100,0.1,139014,191,9421574,0,0.0013739623347288762,67774.2817270203,49327.61256544503,0.38576893462190986
110,0.1,142263,192,9849400,0,0.0013496130406360051,69233.74313770974,51298.958333333336,0.38369778833849977
120,0.1,145198,195,10249576,0,0.0013429937051474539,70590.33870989959,52561.928205128206,0.3845839797616646
130,0.1,147808,200,10620531,0,0.0013531067330591036,71853.56002381469,53102.655,0.38843957809380225
140,0.1,150040,201,10936613,0,0.001339642761930152,72891.31564916023,54411.00995024876,0.3872678264718742
150,0.1,151966,202,11220648,0,0.0013292446994722503,73836.56870615795,55547.762376237624,0.3863539838042816
160,0.1,153706,203,11486187,0,0.0013207031605792878,74728.29297490013,56582.20197044335,0.38558903739847145
170,0.1,155144,203,11712411,0,0.0013084618161192183,75493.80575465373,57696.60591133005,0.3837731247262414
180,0.1,156457,204,11927294,0,0.0013038726295403849,76233.68721118262,58467.12745098039,0.38341540249658834
190,0.1,157581,204,12114165,0,0.001294572315190283,76875.79720905439,59383.16176470588,0.3819157843394133
200,0.1,158553,204,12279254,0,0.001286636014455734,77445.73738749819,60192.42156862745,0.380591104189046
210,0.1,159429,205,12432400,0,0.0012858388373507956,77980.79395843917,60645.85365853659,0.38072917396413
220,0.1,160283,206,12585692,0,0.0012852267551767811,78521.68976123483,61095.59223300971,0.38086616828667924
230,0.1,160984,207,12714926,0,0.0012858420712617404,78982.54484917756,61424.76328502416,0.38119624030835814
240,0.1,161613,207,12832112,0,0.0012808375563846967,79400.2462673176,61990.87922705314,0.3802562500509197
250,0.1,162200,207,12942961,0,0.0012762022194821208,79796.30702836005,62526.381642512075,0.3793671403824683
260,0.1,162734,207,13048173,0,0.001272014453033785,80180.98860717489,63034.65217391304,0.37852335049924424
270,0.1,163232,207,13145789,0,0.0012681336992746521,80534.38663987453,63506.22705314009,0.37774048212236466
280,0.1,163646,207,13227864,0,0.0012649255099421923,80832.18654901434,63902.72463768116,0.3770822780276984
290,0.1,164040,207,13307711,0,0.0012618873445501097,81124.79273347964,64288.45893719807,0.37644198294500236
300,0.1,164363,207,13372770,0,0.0012594075308919892,81361.19442940321,64602.75362318841,0.3759202710381733
310,0.1,164686,207,13439911,0,0.0012569374445915258,81609.31105254848,64927.106280193235,0.3753819079950231
