base_bid,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
50,96757,159,4501596,0,0.0016432919582045743,46524.757898653326,28311.924528301886,0.3816270597972841
60,110440,171,5605102,0,0.0015483520463600146,50752.46287576965,32778.37426900585,0.3891151782049982
70,121916,179,6553976,0,0.0014682240230978706,53758.128547524524,36614.391061452516,0.392393213102458
80,131849,187,7401773,0,0.0014182891034440913,56138.25664206783,39581.673796791445,0.39649496055172206
90,140585,190,8172654,0,0.0013514955365081624,58133.186328555676,43013.96842105263,0.39438542485916317
100,148279,194,8851595,0,0.0013083444048044564,59695.540164150014,45626.778350515466,0.3943868667478567
110,155134,195,9469070,0,0.001256977838513801,61038.005853004506,48559.333333333336,0.39078501982834773
120,161444,199,10051823,0,0.0012326255543717946,62261.979386040985,50511.67336683417,0.39156536514082224
130,167241,204,10602208,0,0.0012197965809819362,63394.7895551928,51971.60784313725,0.3939740524723091
140,172443,206,11086236,0,0.0011945976351606037,64289.278196273546,53816.679611650485,0.3928165017266712
150,177263,207,11533714,0,0.0011677563845811027,65065.5466735867,55718.42512077295,0.39058689346501785
160,181621,208,11950007,0,0.0011452420149652299,65796.39469004134,57451.956730769234,0.3886089286438462
170,185620,209,12328815,0,0.0011259562547139316,66419.64766727723,58989.545454545456,0.38693245812735694
180,189347,210,12689680,0,0.0011090748731165533,67018.12017090316,60427.04761904762,0.38540073380019463
190,192811,210,13018825,0,0.0010891494779862144,67521.17358449465,61994.40476190476,0.3827576111026295
200,196090,210,13328846,0,0.0010709368147279312,67973.10418685297,63470.695238095235,0.38026833677100036
210,199068,211,13617832,0,0.001059939317218237,68407.94100508369,64539.48815165877,0.3793145863858819
220,202001,212,13904822,0,0.001049499754951708,68835.41170588264,65588.78301886792,0.3783770829683849
230,204709,213,14164986,0,0.0010405013946626674,69195.71684684113,66502.28169014085,0.3776549081518768
240,207223,213,14409106,0,0.0010278781795457067,69534.2987988785,67648.38497652582,0.3756956365443183
250,209606,214,14640988,0,0.0010209631403681192,69850.04246061659,68415.83177570094,0.3752007593883659
260,211873,214,14865444,0,0.001010039032816829,70162.04990725576,69464.69158878505,0.37339964933459024
270,214136,214,15083985,0,0.0009993648896028692,70441.14487988941,70485.91121495327,0.37164598426298323
280,216233,214,15284290,0,0.0009896731766196648,70684.35437699148,71421.91588785047,0.3700386984064917
290,218246,214,15479602,0,0.0009805448897116098,70927.3113825683,72334.58878504673,0.36847163826303764
300,220017,214,15648863,0,0.0009726521132457946,71125.69937777535,73125.52803738318,0.36711360387480474
310,221860,214,15827318,0,0.0009645722527720184,71339.21391868746,73959.42990654205,0.36568192394456783
320,223617,214,15993539,0,0.0009569934307320106,71522.01755680471,74736.16355140187,0.3643483665335478
330,225358,214,16158113,0,0.000949600191694992,71699.75328144552,75505.20093457944,0.3630280779140293
340,226975,214,16312898,0,0.0009428351139993391,71870.90208172706,76228.4953271028,0.36178641537518147
350,228548,214,16460697,0,0.0009363459754624849,72022.93172550187,76919.14485981308,0.360600778805913
360,230033,215,16602807,0,0.0009346485069533501,72175.76173853317,77222.35813953489,0.3608266864352948
370,231476,215,16739874,0,0.0009288219945048299,72317.96816948625,77859.87906976744,0.35972723717907057
380,232909,215,16879698,0,0.0009231073080044137,72473.36084049994,78510.22325581395,0.3586057878358203
390,234259,215,17010092,0,0.0009177875769981089,72612.33079625542,79116.70697674419,0.35755997597031725
400,235541,215,17130437,0,0.0009127922527288242,72728.04734632187,79676.45116279069,0.35659471830818257
410,236792,215,17246220,0,0.0009079698638467516,72832.78151288895,80214.97674418605,0.35566604311374156
420,237943,215,17354394,0,0.000903577747611823,72935.08949622388,80718.11162790698,0.3547984550556241
430,239026,215,17455893,0,0.0008994837381707429,73029.26459883025,81190.2,0.3539844160509035
440,240136,215,17564627,0,0.0008953259819435653,73144.4972848719,81695.93953488373,0.35311246517278994
450,241210,215,17662604,0,0.0008913394967041167,73225.00725508893,82151.64651162791,0.3523266559301702
460,242217,215,17761601,0,0.0008876338159584175,73329.29150307369,82612.0976744186,0.3515328270897974
470,243243,215,17861357,0,0.0008838897727786617,73430.09665231887,83076.07906976744,0.3507329070682075
480,244242,215,17957422,0,0.0008802744818663457,73523.07138002473,83522.89302325582,0.34996257942275133
490,245237,215,18050627,0,0.0008767029444985871,73604.82716718929,83956.4046511628,0.34921515365406747
