base_bid,pred_threshold,variable_bid,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
20,0.1,20,17339,19.0,248063.0,0,0.0010957956052828884,14306.649749120481,13055.947368421053,0.03520293190862428
20,0.2,20,8158,17.0,118626.0,0,0.0020838440794312334,14541.063986271145,6978.0,0.03215939735674965
20,0.30000000000000004,20,4608,15.0,66088.0,0,0.0032552083333333335,14342.01388888889,4405.866666666667,0.02922585227272727
20,0.4,20,2874,13.0,39571.0,0,0.004523312456506611,13768.615170494084,3043.923076923077,0.0263503511102676
20,0.5,20,1926,13.0,24565.0,0,0.006749740394600207,12754.413291796469,1889.6153846153845,0.027686207873123758
20,0.6,20,1303,13.0,15179.0,0,0.009976976208749041,11649.270913277054,1167.6153846153845,0.02962254936161306
20,0.7000000000000001,20,749,11.0,7715.0,0,0.014686248331108143,10300.400534045393,701.3636363636364,0.028811748998664892
20,0.8,20,267,4.0,2572.0,0,0.0149812734082397,9632.958801498127,643.0,0.016261491317671094
20,0.9,20,24,2.0,371.0,0,0.08333333333333333,15458.333333333332,185.5,0.053636363636363635
20,0.1,40,19843,27.0,323985.0,0,0.0013606813485864033,16327.420248954291,11999.444444444445,0.049907317900060935
20,0.2,40,9615,25.0,165362.0,0,0.0026001040041601664,17198.335933437338,6614.48,0.047014607857041556
20,0.30000000000000004,40,5598,24.0,98446.0,0,0.004287245444801715,17585.923544122903,4101.916666666667,0.04620871090324467
20,0.4,40,3548,22.0,62191.0,0,0.0062006764374295375,17528.46674182638,2826.8636363636365,0.04372040586245773
20,0.5,40,2374,20.0,39485.0,0,0.008424599831508003,16632.266217354674,1974.25,0.04141839626254117
20,0.6,40,1571,20.0,24058.0,0,0.012730744748567792,15313.812858052197,1202.9,0.04400208321277704
20,0.7000000000000001,40,875,19.0,11963.0,0,0.021714285714285714,13672.0,629.6315789473684,0.04757402597402598
20,0.8,40,307,10.0,4035.0,0,0.03257328990228013,13143.322475570032,403.5,0.03772579212318626
20,0.9,40,34,6.0,787.0,0,0.17647058823529413,23147.05882352941,131.16666666666666,0.11679144385026738
20,0.1,60,22341,51.0,417540.0,0,0.002282798442325769,18689.40512958238,8187.058823529412,0.0940969517926682
20,0.2,60,11074,48.0,223639.0,0,0.004334477153693336,20194.96117030883,4659.145833333333,0.08987341356494329
20,0.30000000000000004,60,6515,47.0,137488.0,0,0.007214121258633922,21103.30007674597,2925.276595744681,0.0897830182097258
20,0.4,60,4159,43.0,88989.0,0,0.01033902380379899,21396.729983169032,2069.5116279069766,0.08438523246409758
20,0.5,60,2803,40.0,58442.0,0,0.014270424545130217,20849.803781662504,1461.05,0.08128952745435086
20,0.6,60,1843,38.0,36038.0,0,0.020618556701030927,19553.988062940858,948.3684210526316,0.08146204311152765
20,0.7000000000000001,60,1010,32.0,17992.0,0,0.031683168316831684,17813.861386138615,562.25,0.0771917191719172
20,0.8,60,359,21.0,6646.0,0,0.0584958217270195,18512.534818941505,316.4761904761905,0.07327931121802989
20,0.9,60,54,15.0,2022.0,0,0.2777777777777778,37444.444444444445,134.8,0.19393939393939394
20,0.1,80,25060,66.0,538944.0,0,0.002633679169992019,21506.14525139665,8165.818181818182,0.1215802075019952
20,0.2,80,12588,64.0,297471.0,0,0.005084207181442644,23631.3155386082,4647.984375,0.11941416067250195
20,0.30000000000000004,80,7441,62.0,184927.0,0,0.008332213412175783,24852.439188281147,2982.6935483870966,0.1177266007745782
20,0.4,80,4764,60.0,121416.0,0,0.012594458438287154,25486.146095717882,2023.6,0.11664758415388138
20,0.5,80,3214,57.0,80507.0,0,0.01773490976975731,25048.848786558807,1412.4035087719299,0.11427730949821802
20,0.6,80,2114,54.0,50824.0,0,0.02554399243140965,24041.62724692526,941.1851851851852,0.11350821364066398
20,0.7000000000000001,80,1149,47.0,25782.0,0,0.040905134899912966,22438.64229765013,548.5531914893617,0.10999762639449323
20,0.8,80,428,36.0,11003.0,0,0.08411214953271028,25707.943925233645,305.6388888888889,0.11592183517417162
20,0.9,80,85,26.0,4231.0,0,0.3058823529411765,49776.470588235294,162.73076923076923,0.23080213903743316
20,0.1,100,27857,75.0,684274.0,0,0.0026923214990846106,24563.808019528307,9123.653333333334,0.1379790292630871
20,0.2,100,14182,71.0,388262.0,0,0.005006346072486251,27377.09772951629,5468.478873239436,0.13209471673440087
20,0.30000000000000004,100,8408,69.0,243242.0,0,0.008206470028544244,28929.828734538536,3525.246376811594,0.130378427471672
20,0.4,100,5374,66.0,159521.0,0,0.012281354670636397,29683.8481577968,2416.9848484848485,0.12736881280238183
20,0.5,100,3611,64.0,105385.0,0,0.01772362226530047,29184.43644419828,1646.640625,0.12699780972281666
20,0.6,100,2353,62.0,65432.0,0,0.02634934126646834,27807.904802379937,1055.3548387096773,0.12853687748715373
20,0.7000000000000001,100,1288,56.0,34540.0,0,0.043478260869565216,26816.7701863354,616.7857142857143,0.12790513833992093
20,0.8,100,482,44.0,14750.0,0,0.0912863070539419,30601.659751037347,335.22727272727275,0.13477178423236516
20,0.9,100,103,31.0,5764.0,0,0.30097087378640774,55961.16504854369,185.93548387096774,0.23694616063548102
20,0.1,120,30665,92.0,846485.0,0,0.003000163052339801,27604.271971302787,9200.923913043478,0.16907282510413116
20,0.2,120,15812,85.0,490269.0,0,0.005375664052618264,31006.134581330636,5767.870588235294,0.1577708529770255
20,0.30000000000000004,120,9421,81.0,310542.0,0,0.008597813395605561,32962.74280861904,3833.8518518518517,0.1524314153100906
20,0.4,120,5974,78.0,201271.0,0,0.013056578506863073,33691.16170070304,2580.397435897436,0.14965212892229965
20,0.5,120,4007,76.0,133449.0,0,0.018966808085849763,33303.96805590217,1755.907894736842,0.14956190303332803
20,0.6,120,2589,71.0,82248.0,0,0.02742371572035535,31768.250289687137,1158.4225352112676,0.14554513852312234
20,0.7000000000000001,120,1431,69.0,44875.0,0,0.04821802935010482,31359.1893780573,650.3623188405797,0.15438536306460834
20,0.8,120,541,54.0,19880.0,0,0.09981515711645102,36746.76524953789,368.14814814814815,0.1580709124516888
20,0.9,120,122,36.0,7622.0,0,0.29508196721311475,62475.40983606558,211.72222222222223,0.2425037257824143
40,0.1,20,32571,33.0,745052.0,0,0.0010131712259371835,22874.70449172577,22577.333333333332,0.06060790273556231
40,0.2,20,15213,28.0,354846.0,0,0.0018405311246959836,23325.182409781108,12673.07142857143,0.052013409583908495
40,0.30000000000000004,20,8315,26.0,193094.0,0,0.003126879134095009,23222.36921226699,7426.692307692308,0.04914885475318428
40,0.4,20,4959,24.0,112196.0,0,0.004839685420447671,22624.72272635612,4674.833333333333,0.04654017488863224
40,0.5,20,3253,22.0,71186.0,0,0.006762988011066708,21883.18475253612,3235.7272727272725,0.04405779280664003
40,0.6,20,2140,21.0,44571.0,0,0.009813084112149532,20827.570093457944,2122.4285714285716,0.044069668649107906
40,0.7000000000000001,20,1195,20.0,23370.0,0,0.016736401673640166,19556.485355648536,1168.5,0.04640547736782047
40,0.8,20,416,12.0,7884.0,0,0.028846153846153848,18951.923076923078,657.0,0.03912587412587413
