base_bid,pred_threshold,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.1,0.05,82454,113.0,4511377.0,0,0.001370461105586145,54713.864700317754,39923.69026548672,0.20627682211789716
0.125,0.05,87027,127.0,4698865.0,0,0.0014593172233904421,53993.18602272858,36998.93700787402,0.23178468124312518
0.15,0.05,91549,142.0,4916964.0,0,0.0015510819342647107,53708.54951992921,34626.50704225352,0.2591124673423771
0.175,0.05,95946,147.0,5159216.0,0,0.0015321118128947533,53772.08012840556,35096.707482993195,0.26819199436046415
0.19999999999999998,0.05,100160,153.0,5422919.0,0,0.001527555910543131,54142.56190095847,35443.91503267974,0.27909835172814407
0.22499999999999998,0.05,104273,164.0,5703697.0,0,0.001572794491383196,54699.65379340769,34778.64024390244,0.29912549487664813
0.24999999999999997,0.05,108248,169.0,6000325.0,0,0.0015612297686793289,55431.2781760402,35504.88165680473,0.3082094651339349
0.27499999999999997,0.05,111645,171.0,6249937.0,892,0.0015316404675534058,55980.44695239375,36549.33918128655,0.31182807518962297
0.1,0.1,56894,111.0,3052275.0,0,0.0019509965901501037,53648.45150630998,27497.972972972973,0.20298877977227187
0.125,0.1,60698,125.0,3231055.0,0,0.002059375926719167,53231.65507924479,25848.44,0.22850835282875878
0.15,0.1,64475,139.0,3438948.0,0,0.002155874369910818,53337.69678169834,24740.63309352518,0.25402079734921923
0.175,0.1,68076,144.0,3668228.0,0,0.0021152829190904283,53884.305775897534,25473.805555555555,0.2630873515696361
0.19999999999999998,0.1,71440,150.0,3915927.0,0,0.0020996640537514,54814.20772676372,26106.18,0.27398707115952353
0.22499999999999998,0.1,74749,161.0,4180008.0,0,0.0021538749682269995,55920.58756638885,25962.782608695652,0.2940195977082089
0.24999999999999997,0.1,77908,164.0,4457538.0,0,0.0021050469784874466,57215.407917030345,27180.10975609756,0.29944484636891067
0.27499999999999997,0.1,80819,167.0,4736198.0,0,0.0020663457850257985,58602.53158291986,28360.467065868263,0.30487617110737913
0.29999999999999993,0.1,83498,172.0,5004561.0,0,0.0020599295791515963,59936.29787539821,29096.28488372093,0.3139632304747637
0.32499999999999996,0.1,86006,176.0,5268333.0,0,0.002046368857986652,61255.41241308746,29933.710227272728,0.32122782131479205
0.35,0.1,88395,176.0,5531368.0,0,0.0019910628429209796,62575.57554160304,31428.227272727272,0.32119463770575263
0.3749999999999999,0.1,90614,176.0,5776526.0,0,0.001942304721124771,63748.71432670448,32821.170454545456,0.32116538283267493
0.3999999999999999,0.1,92674,177.0,6017948.0,0,0.0019099207976347196,64936.74601290545,33999.706214689264,0.3229641342967627
0.42499999999999993,0.1,94542,177.0,6240190.0,0,0.0018721837913308371,66004.42131539421,35255.31073446327,0.32294149209298034
0.44999999999999996,0.1,95299,168.0,6249952.0,3035,0.0017628726429448369,65582.55595546648,37202.09523809524,0.30651226904031237
0.1,0.15000000000000002,41376,108.0,2199984.0,0,0.0026102088167053363,53170.53364269142,20370.222222222223,0.19792976165365958
0.125,0.15000000000000002,44441,122.0,2364847.0,0,0.002745212753988434,53213.181521567916,19383.991803278688,0.22346530947057489
0.15,0.15000000000000002,47449,135.0,2555547.0,0,0.002845160066597821,53858.816834917496,18929.977777777778,0.24716164149450418
0.175,0.15000000000000002,50360,140.0,2766300.0,0,0.0027799841143764893,54930.50039714059,19759.285714285714,0.25621344501408044
0.19999999999999998,0.15000000000000002,53083,146.0,2993949.0,0,0.0027504097356969275,56401.277245069046,20506.5,0.26710479129596365
0.22499999999999998,0.15000000000000002,55681,156.0,3232761.0,0,0.002801673820513281,58058.60167741241,20722.826923076922,0.2853173679286716
0.24999999999999997,0.15000000000000002,58150,159.0,3483072.0,0,0.0027343078245915735,59898.05674978504,21906.11320754717,0.29073149378566404
0.27499999999999997,0.15000000000000002,60311,162.0,3728895.0,0,0.0026860771666860107,61827.77602759032,23017.87037037037,0.29615710084546615
0.29999999999999993,0.15000000000000002,62312,165.0,3965302.0,0,0.002647965078957504,63636.24983951727,24032.133333333335,0.3015887790473745
0.32499999999999996,0.15000000000000002,64114,169.0,4192457.0,0,0.0026359297501325762,65390.66350563059,24807.437869822486,0.3088542851228069
0.35,0.15000000000000002,65843,169.0,4418550.0,0,0.002566711723341889,67107.36145072369,26145.26627218935,0.30881275430673244
0.3749999999999999,0.15000000000000002,67403,169.0,4624931.0,0,0.002507306796433393,68616.10017358277,27366.455621301775,0.30877711135058733
0.3999999999999999,0.15000000000000002,68868,169.0,4828607.0,0,0.0024539699134576293,70113.94261485741,28571.63905325444,0.3087451092208019
0.42499999999999993,0.15000000000000002,70149,169.0,5010480.0,0,0.002409157650144692,71426.24983962708,29647.810650887575,0.3087182218628141
0.44999999999999996,0.15000000000000002,71315,170.0,5181442.0,0,0.0023837902264600714,72655.71057982191,30479.070588235296,0.3105211832267851
0.47499999999999987,0.15000000000000002,72356,170.0,5341803.0,0,0.0023494941677262423,73826.67643319145,31422.370588235295,0.31050060559154485
0.4999999999999999,0.15000000000000002,73284,170.0,5490199.0,0,0.002319742372141259,74916.74853992685,32295.288235294116,0.3104827545141938
0.5249999999999999,0.15000000000000002,74128,170.0,5629398.0,0,0.002293330455428448,75941.58752428232,33114.10588235294,0.31046690736416616
0.5499999999999999,0.15000000000000002,74873,172.0,5755133.0,0,0.0022972232981181466,76865.26518237549,33460.07558139535,0.3141056067061436
0.5749999999999998,0.15000000000000002,75617,173.0,5884526.0,0,0.0022878453257865294,77820.14626340638,34014.601156069366,0.3159181617409265
0.5999999999999999,0.15000000000000002,76272,174.0,6002474.0,0,0.0022813089993706736,78698.26410740508,34496.97701149425,0.31773242176325883
0.6249999999999999,0.15000000000000002,76828,174.0,6102380.0,0,0.002264799291924819,79429.11438538032,35071.14942528736,0.3177225159387913
0.6499999999999998,0.15000000000000002,77406,175.0,6209782.0,0,0.0022608066558147946,80223.52272433661,35484.46857142857,0.31953830217530704
0.6749999999999998,0.15000000000000002,77734,174.0,6249960.0,676,0.0022384027581238584,80401.8833457689,35919.31034482759,0.3177066780185107
0.1,0.2,30829,105.0,1638881.0,0,0.0034058840701936487,53160.368484219405,15608.390476190476,0.1929526213512071
0.125,0.2,33326,119.0,1788833.0,0,0.003570785572826022,53676.79889575706,15032.210084033613,0.21850610770733198
0.15,0.2,35759,132.0,1961146.0,0,0.0036913783942503983,54843.42403311055,14857.166666666666,0.24221482703655023
0.175,0.2,38053,137.0,2148355.0,0,0.003600241768060337,56456.91535489975,15681.423357664233,0.2512510541517453
0.19999999999999998,0.2,40145,143.0,2348444.0,0,0.003562087433055175,58499.040976460325,16422.685314685314,0.2621372524598331
0.22499999999999998,0.2,42059,153.0,2553665.0,0,0.003637746974488219,60716.25573598992,16690.62091503268,0.28036446636651113
0.24999999999999997,0.2,43919,156.0,2770421.0,0,0.0035519934424736448,63080.23862109793,17759.108974358973,0.2857675597018478
0.27499999999999997,0.2,45581,159.0,2985735.0,0,0.0034882955617472193,65503.938044360584,18778.20754716981,0.29118388642795745
0.29999999999999993,0.2,47064,161.0,3188038.0,0,0.003420873703892572,67738.35628080911,19801.478260869564,0.29477979694960826
0.32499999999999996,0.2,48427,165.0,3383383.0,0,0.003407190203811923,69865.63280814422,20505.351515151517,0.3020443141222872
0.35,0.2,49701,165.0,3573644.0,0,0.0033198527192611817,71902.85909740247,21658.448484848486,0.30199191163155675
0.3749999999999999,0.2,50768,165.0,3738997.0,0,0.0032500787897888433,73648.69602899464,22660.58787878788,0.30195004727387337
0.3999999999999999,0.2,51759,165.0,3900145.0,0,0.003187851388164377,75352.01607449912,23637.242424242424,0.30191271083289867
0.42499999999999993,0.2,52602,165.0,4039961.0,0,0.003136762860727729,76802.42196114217,24484.61212121212,0.30188205771643667
0.44999999999999996,0.2,53379,166.0,4171842.0,0,0.0031098372018958766,78155.11718091385,25131.578313253012,0.30368408413931935
0.47499999999999987,0.2,54059,166.0,4293726.0,0,0.0030707190292088276,79426.66346029339,25865.819277108432,0.3036606132357071
0.4999999999999999,0.2,54666,166.0,4406035.0,0,0.00303662239783412,80599.18413639191,26542.37951807229,0.3036401552568823
0.5249999999999999,0.2,55210,166.0,4509811.0,0,0.0030067016844774496,81684.67668900562,27167.536144578313,0.3036222028288683
0.5499999999999999,0.2,55701,168.0,4603954.0,0,0.0030161038401464967,82654.78178129657,27404.488095238095,0.3072642077586334
0.5749999999999998,0.2,56180,169.0,4699297.0,0,0.003008187967248131,83647.15201139195,27806.491124260356,0.3090776400530762
0.5999999999999999,0.2,56605,170.0,4785792.0,0,0.003003268262520979,84547.16014486353,28151.717647058824,0.31089287004842164
0.6249999999999999,0.2,56878,170.0,4844264.0,0,0.0029888533352086925,85169.3800766553,28495.670588235294,0.3108842210920343
0.6499999999999998,0.2,57183,170.0,4911017.0,0,0.0029729115296504207,85882.46506828953,28888.335294117645,0.31087465600869935
0.6749999999999998,0.2,57429,171.0,4966603.0,0,0.0029775897194797055,86482.49142419334,29044.461988304094,0.3126956447407787
0.6999999999999998,0.2,57675,171.0,5021821.0,0,0.002964889466840052,87071.01863892502,29367.374269005846,0.3126880245891949
0.7249999999999999,0.2,57859,171.0,5064433.0,0,0.002955460688916158,87530.60025233758,29616.567251461987,0.3126823673224406
0.7499999999999999,0.2,58025,171.0,5103001.0,0,0.002947005601034037,87944.86859112451,29842.11111111111,0.31267729426971136
0.7749999999999998,0.2,58166,172.0,5137107.0,0,0.0029570539490423957,88318.03802908916,29866.9011627907,0.31450150509669816
0.7999999999999998,0.2,58289,172.0,5167302.0,0,0.0029508140472473366,88649.69376726312,30042.45348837209,0.31449776115562117
0.8249999999999998,0.2,58403,172.0,5195807.0,0,0.0029450541924216224,88964.72783932333,30208.18023255814,0.3144943052427257
0.8499999999999998,0.2,58504,172.0,5221763.0,0,0.0029399699165869,89254.80309038698,30359.087209302324,0.3144912546772249
0.8749999999999998,0.2,58588,173.0,5243889.0,0,0.002952823103707244,89504.4889738513,30311.49710982659,0.31631714840767894
0.8999999999999998,0.2,58666,173.0,5264425.0,0,0.0029488971465584835,89735.53676746327,30430.20231213873,0.31631479283338965
0.9249999999999998,0.2,58718,173.0,5278591.0,0,0.0029462856364317587,89897.322797098,30512.086705202313,0.31631322592731365
0.9499999999999998,0.2,58778,173.0,5294970.0,0,0.0029432780972472694,90084.2151825513,30606.763005780347,0.3163114214038029
0.9749999999999998,0.2,58827,173.0,5308508.0,0,0.002940826491237017,90239.31188059905,30685.017341040464,0.3163099504401968
0.1,0.25,23449,101.0,1246686.0,0,0.004307219924090579,53165.8492899484,12343.425742574258,0.186220695590818
0.125,0.25,25468,115.0,1380751.0,0,0.004515470394220198,54215.13271556463,12006.53043478261,0.2118001913274412
0.15,0.25,27387,128.0,1531765.0,0,0.004673750319494651,55930.3684229744,11966.9140625,0.2355315229189695
0.175,0.25,29115,133.0,1691429.0,0,0.004568092048772111,58094.76215009446,12717.511278195489,0.24455903704744508
0.19999999999999998,0.25,30725,138.0,1864627.0,0,0.004491456468673718,60687.61594792514,13511.789855072464,0.2536039647902951
0.22499999999999998,0.25,32203,148.0,2042332.0,0,0.004595845107598671,63420.550880352755,13799.54054054054,0.2718484161554683
0.24999999999999997,0.25,33615,151.0,2227325.0,0,0.004492042243046259,66259.85423174177,14750.496688741721,0.27724067989128237
0.27499999999999997,0.25,34902,154.0,2413180.0,0,0.004412354592860008,69141.59647011632,15670.0,0.282647412755716
0.29999999999999993,0.25,36023,156.0,2584435.0,0,0.004330566582461205,71744.02465091746,16566.891025641027,0.28623470358584036
0.32499999999999996,0.25,37015,159.0,2745078.0,0,0.004295555855734162,74161.23193300013,17264.64150943396,0.2916682426043496
0.35,0.25,37913,159.0,2897393.0,0,0.004193812148867143,76422.1507134756,18222.59748427673,0.2916071963802294
0.3749999999999999,0.25,38655,159.0,3027668.0,0,0.004113310050446255,78325.39128185228,19041.937106918238,0.2915588951211769
0.3999999999999999,0.25,39360,159.0,3155734.0,0,0.0040396341463414635,80176.168699187,19847.383647798742,0.291514689578714
0.42499999999999993,0.25,39929,159.0,3261982.0,0,0.003982068171003531,81694.5578401663,20515.610062893084,0.29148014999351124
