base_bid,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.025,4514,12.0,32711.0,0,0.002658396101019052,7246.566238369517,2725.9166666666665,0.02341321947879325
0.05,11639,27.0,147150.0,0,0.0023197869232751953,12642.838731849815,5450.0,0.05048278124487421
0.07500000000000001,19482,65.0,343904.0,0,0.003336413099271122,17652.397084488246,5290.830769230769,0.12018366604138087
0.1,28020,85.0,639896.0,0,0.003033547466095646,22837.116345467522,7528.1882352941175,0.15636558302511194
0.125,36994,106.0,1010893.0,0,0.0028653295128939827,27325.863653565444,9536.72641509434,0.19444647043500915
0.15,45899,123.0,1419843.0,0,0.0026797969454672214,30934.072637748097,11543.439024390244,0.22524424180364397
0.17500000000000002,54375,132.0,1845888.0,0,0.0024275862068965518,33947.36551724138,13984.0,0.24145655172413794
0.2,62463,140.0,2288849.0,0,0.0022413268655043788,36643.27681987737,16348.921428571428,0.2558902506647572
0.225,70222,155.0,2739702.0,0,0.002207285466093247,39014.8671356555,17675.496774193547,0.2831425530978378
0.25,77581,162.0,3194272.0,0,0.002088140137404777,41173.38008017427,19717.728395061727,0.2957983386278974
0.275,84425,165.0,3638687.0,0,0.001954397394136808,43099.6387326029,22052.648484848483,0.3011726384364821
0.30000000000000004,90815,173.0,4065184.0,0,0.001904971645653251,44763.35407146397,23498.173410404623,0.31568843753284653
0.32500000000000007,96897,177.0,4481957.0,0,0.0018266819406173565,46254.858251545455,25321.790960451977,0.32291419098255225
0.35000000000000003,102753,178.0,4900778.0,0,0.0017323095189434859,47694.74370577988,27532.460674157304,0.32467574934772975
0.37500000000000006,108363,179.0,5298464.0,0,0.0016518553380766498,48895.50861456401,29600.35754189944,0.32644565865739145
0.4,113804,183.0,5697411.0,0,0.0016080278373343643,50063.36332642086,31133.39344262295,0.3336920894296734
0.42500000000000004,118717,183.0,6063558.0,0,0.0015414810010360774,51075.734730493525,33134.19672131148,0.3336521613278944
0.45000000000000007,122146,174.0,6249962.0,3284,0.001424524749070784,51167.96292960883,35919.32183908046,0.3172183512130789
