noBidThreshold,minBid,bidRange,sigmoidDegree,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.2,250,250,-30,58191,171.0,5119531.0,0,0.0029385987523843893,87978.05502569125,29938.777777777777,0.3126722501605215
0.2,250,250,-40,58079,170.0,5089832.0,0,0.0029270476420048554,87636.35737529917,29940.188235294117,0.310847137676112
0.2,250,250,-50,58013,170.0,5072218.0,0,0.0029303776739696276,87432.43755709927,29836.576470588236,0.3108491356952909
0.2833333333333333,100,50,-10,25737,115.0,1476982.0,0,0.004468275245755138,57387.49660022536,12843.321739130435,0.2117718742383622
0.2833333333333333,100,50,-20,25464,115.0,1450140.0,0,0.0045161797046811185,56948.63336475024,12609.91304347826,0.21180061691371777
0.2833333333333333,100,50,-30,25301,115.0,1434567.0,0,0.004545274890320541,56700.011857238846,12474.495652173913,0.21181807402510142
0.2833333333333333,100,50,-40,25238,115.0,1428595.0,0,0.0045566209683810125,56604.92115064585,12422.565217391304,0.21182488167193772
0.2833333333333333,100,50,-50,25221,115.0,1427228.0,0,0.004559692319892153,56588.87435073946,12410.678260869565,0.2118267244828444
0.2833333333333333,100,100,-10,27413,134.0,1718906.0,0,0.004888191733848904,62704.0455258454,12827.65671641791,0.246569278676673
0.2833333333333333,100,100,-20,26950,134.0,1679992.0,0,0.004972170686456401,62337.36549165121,12537.253731343284,0.24661966604823748
0.2833333333333333,100,100,-30,26713,133.0,1660431.0,0,0.004978849249429117,62158.16269232209,12484.443609022557,0.2448054913678393
0.2833333333333333,100,100,-40,26629,133.0,1655010.0,0,0.0049945548086672426,62150.66281122085,12443.684210526315,0.24481491470338218
0.2833333333333333,100,100,-50,26594,134.0,1654783.0,0,0.005038730540723471,62223.922689328414,12349.126865671642,0.24665960196079773
0.2833333333333333,100,150,-10,29089,144.0,2005696.0,0,0.00495032486506927,68950.32486506927,13928.444444444445,0.2647883767372234
0.2833333333333333,100,150,-20,28358,145.0,1941103.0,0,0.005113195570914733,68449.92594682277,13386.917241379311,0.26670428097891247
0.2833333333333333,100,150,-30,27990,145.0,1912268.0,0,0.005180421579135406,68319.68560200073,13188.055172413793,0.26674461658384485
0.2833333333333333,100,150,-40,27873,144.0,1906146.0,0,0.005166289958023894,68386.82596060704,13237.125,0.26491795579299615
0.2833333333333333,100,150,-50,27818,143.0,1904259.0,0,0.0051405564742253215,68454.2023150478,13316.496503496504,0.2630843338845352
0.2833333333333333,100,200,-10,30304,151.0,2231607.0,0,0.004982840549102429,73640.67449841606,14778.85430463576,0.27753515887491603
0.2833333333333333,100,200,-20,29153,150.0,2097628.0,0,0.005145268068466367,71952.38911947313,13984.186666666666,0.2758144335683525
0.2833333333333333,100,200,-30,28638,149.0,2044527.0,0,0.005202877295900551,71392.1014037293,13721.657718120805,0.27403081728663126
0.2833333333333333,100,200,-40,28391,148.0,2018026.0,0,0.005212919587193125,71079.77880314185,13635.31081081081,0.272218660843225
0.2833333333333333,100,200,-50,28277,147.0,2007875.0,0,0.005198571277009584,71007.35580153481,13659.013605442176,0.270391870038933
0.2833333333333333,100,250,-10,31238,152.0,2403899.0,0,0.004865868493501504,76954.31845828798,15815.125,0.27928315745973725
0.2833333333333333,100,250,-20,29647,150.0,2188665.0,0,0.005059533848281445,73824.1643336594,14591.1,0.2757629930362416
0.2833333333333333,100,250,-30,28967,150.0,2104496.0,0,0.005178306348603583,72651.49998273898,14029.973333333333,0.27583425653643484
0.2833333333333333,100,250,-40,28627,149.0,2064074.0,0,0.005204876515177979,72102.35092744612,13852.845637583892,0.2740320168181977
0.2833333333333333,100,250,-50,28450,147.0,2042093.0,0,0.005166959578207382,71778.31282952549,13891.78911564626,0.2703729030196517
0.2833333333333333,150,50,-10,29914,137.0,2086105.0,0,0.004579795413518754,69736.74533663168,15227.043795620439,0.25183878633902035
0.2833333333333333,150,50,-20,29640,137.0,2045711.0,0,0.0046221322537112015,69018.58974358974,14932.197080291971,0.2518641884431358
0.2833333333333333,150,50,-30,29529,137.0,2030092.0,0,0.004639506925395374,68749.09411087405,14818.189781021898,0.2518746132461463
0.2833333333333333,150,50,-40,29504,138.0,2027264.0,0,0.0046773318872017355,68711.4967462039,14690.31884057971,0.253715490041412
0.2833333333333333,150,50,-50,29481,138.0,2024055.0,0,0.004680980970794749,68656.25318001425,14667.065217391304,0.25371767949156776
0.2833333333333333,150,100,-10,31560,149.0,2400788.0,0,0.004721166032953105,76070.59569074778,16112.671140939598,0.27374179052886277
